City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
427,Mokhsogollokh,61.4681,128.9203,-21.71,92,69,2.1,RU,2023-02-14 02:45:07
428,George,-33.963,22.4617,67.55,94,100,3.44,ZA,2023-02-14 02:45:08
429,Coahuayana,18.7333,-103.6833,71.19,76,5,1.07,MX,2023-02-14 02:45:09
430,Sarkand,45.41,79.9186,22.32,80,100,4.25,KZ,2023-02-14 02:41:24
431,Tashla,51.7716,52.7427,15.98,96,99,8.05,RU,2023-02-14 02:45:09
432,Mandali,33.7499,45.5541,45.25,39,100,8.37,IQ,2023-02-14 02:45:10
433,Gashua,12.871,11.0482,64.54,25,20,9.6,NG,2023-02-14 02:45:10
434,Plettenberg Bay,-34.0527,23.3716,69.26,92,92,2.28,ZA,2023-02-14 02:45:10
435,Natchez,31.5604,-91.4032,54.84,69,0,5.75,US,2023-02-14 02:45:11
436,Basco,20.4487,121.9702,76.66,72,16,12.53,PH,2023-02-14 02:45:11
437,Denpasar,-8.65,115.2167,83.86,83,40,17.27,ID,2023-02-14 02:42:51
438,Padang,-0.9492,100.3543,80.65,67,51,3.83,ID,2023-02-14 02:45:12
439,Kangaba,11.9333,-8.4167,77.13,13,3,5.68,ML,2023-02-14 02:45:12
440,Berlevag,70.8578,29.0864,30.15,69,75,12.66,NO,2023-02-14 02:45:12
441,Mantua,45.1667,10.7833,38.01,84,0,6.58,IT,2023-02-14 02:45:13
442,Broken Hill,-31.95,141.4333,78.37,22,0,13.42,AU,2023-02-14 02:44:32
443,Te Anau,-45.4167,167.7167,76.55,41,8,3.83,NZ,2023-02-14 02:45:14
444,Prieska,-29.6641,22.7474,78.58,32,0,1.36,ZA,2023-02-14 02:45:14
445,Bollnas,61.3482,16.3946,30.47,95,85,3.8,SE,2023-02-14 02:45:15
446,Bonwapitse,-23.0766,26.7037,68.02,90,97,10.02,BW,2023-02-14 02:45:15
447,Gamba,-2.65,10.0,78.46,86,100,2.46,GA,2023-02-14 02:40:34
448,Wildomar,33.5989,-117.28,53.69,85,0,8.05,US,2023-02-14 02:45:16
449,Vanimo,-2.6741,141.3028,82.33,85,66,6.51,PG,2023-02-14 02:42:43
450,Harper,4.375,-7.7169,79.66,86,63,4.81,LR,2023-02-14 02:45:16
451,Fomboni,-12.28,43.7425,81.86,69,100,3.36,KM,2023-02-14 02:45:17
452,Salalah,17.0151,54.0924,66.29,68,0,3.44,OM,2023-02-14 02:45:17
453,Menomonie,44.8755,-91.9193,37.27,93,0,3.44,US,2023-02-14 02:45:18
454,Sorland,67.667,12.6934,44.46,83,100,26.62,NO,2023-02-14 02:45:18
455,Varnavino,57.4035,45.0916,16.81,96,100,5.99,RU,2023-02-14 02:45:19
456,Isangel,-19.55,169.2667,81.77,57,12,9.13,VU,2023-02-14 02:42:29
457,Sao Joao Da Boa Vista,-21.9692,-46.7981,68.31,87,96,2.93,BR,2023-02-14 02:45:19
458,Kudahuvadhoo,2.6708,72.8944,80.08,69,12,9.55,MV,2023-02-14 02:45:20
459,Pangkalanbuun,-2.6833,111.6167,84.4,67,100,5.03,ID,2023-02-14 02:46:20
460,Kedougou,12.5579,-12.1743,78.82,21,12,5.3,SN,2023-02-14 02:46:20
461,Popondetta,-8.7537,148.2534,90.82,55,97,6.71,PG,2023-02-14 02:46:21
462,Sembakung,3.8167,117.25,87.24,60,99,1.63,ID,2023-02-14 02:46:21
463,Saint-Georges,12.0564,-61.7485,76.68,83,20,16.11,GD,2023-02-14 02:42:13
464,Tessalit,20.1986,1.0114,68.4,17,100,13.82,ML,2023-02-14 02:46:22
465,Mnogovershinnyy,53.9353,139.9242,-2.76,84,99,8.84,RU,2023-02-14 02:46:22
466,Takapau,-40.0333,176.35,64.72,95,93,6.17,NZ,2023-02-14 02:46:23
467,Fuxin,42.0156,121.6589,24.48,35,0,14.45,CN,2023-02-14 02:43:59
468,Sobolevo,54.4299,31.8996,33.13,83,100,16.02,RU,2023-02-14 02:46:23
469,Sao Joao Da Barra,-21.6403,-41.0511,76.28,91,100,15.03,BR,2023-02-14 02:46:24
470,La Palma,33.8464,-118.0467,59.05,82,0,8.05,US,2023-02-14 02:46:24
471,Yulara,-25.2406,130.9889,98.06,16,31,10.27,AU,2023-02-14 02:41:48
472,Bhatkal,13.9667,74.5667,78.62,29,99,3.22,IN,2023-02-14 02:46:25
473,Peruibe,-24.32,-46.9983,74.46,93,100,4.12,BR,2023-02-14 02:46:25
474,Mackenzie,55.2999,-123.1698,34.02,64,100,0.0,CA,2023-02-14 02:46:26
475,Malinovoye Ozero,51.6753,79.7825,-10.86,100,96,4.68,RU,2023-02-14 02:46:26
476,Saint-Pierre,-21.3393,55.4781,75.9,94,100,11.5,RE,2023-02-14 02:44:36
477,Saint-Joseph,-21.3667,55.6167,74.46,85,29,12.24,RE,2023-02-14 02:46:26
478,Ambulu,-8.345,113.6058,82.08,77,100,7.54,ID,2023-02-14 02:46:27
479,Olavarria,-36.8927,-60.3225,64.87,15,0,4.16,AR,2023-02-14 02:46:27
480,Gander,48.9682,-54.5906,8.73,84,75,6.91,CA,2023-02-14 02:45:54
481,Krasnyy Chikoy,50.3643,108.7512,9.39,85,100,1.92,RU,2023-02-14 02:46:28
482,Celendin,-6.8703,-78.1517,52.86,88,98,0.87,PE,2023-02-14 02:46:28
483,Pekalongan,-6.8886,109.6753,83.28,72,91,8.3,ID,2023-02-14 02:46:29
484,Kimbe,-5.5502,150.1429,86.29,67,100,5.46,PG,2023-02-14 02:46:29
485,Lagoa,39.05,-27.9833,55.81,56,69,23.02,PT,2023-02-14 02:46:30
486,Owase,34.0667,136.2,46.33,46,37,11.77,JP,2023-02-14 02:46:31
487,Loukhi,66.0764,33.0381,25.97,82,77,9.46,RU,2023-02-14 02:46:31
488,Mata,40.683,-7.4592,42.82,78,96,4.03,PT,2023-02-14 02:46:32
489,Laurel,39.0993,-76.8483,50.63,47,0,3.44,US,2023-02-14 02:44:59
490,Maxixe,-23.8597,35.3472,76.93,92,55,8.16,MZ,2023-02-14 02:46:32
491,Bathsheba,13.2167,-59.5167,77.61,78,40,20.71,BB,2023-02-14 02:46:33
492,Makakilo City,21.3469,-158.0858,79.12,59,0,14.97,US,2023-02-14 02:46:33
493,Sayyan,15.1718,44.3244,48.27,16,2,2.77,YE,2023-02-14 02:46:33
494,Severodvinsk,64.5635,39.8302,28.51,83,94,16.55,RU,2023-02-14 02:42:09
495,Cullman,34.1748,-86.8436,51.08,66,0,0.0,US,2023-02-14 02:45:03
496,Numan,9.4667,12.0333,70.48,23,61,3.94,NG,2023-02-14 02:46:34
497,Kushiro,42.975,144.3747,23.95,74,75,10.36,JP,2023-02-14 02:46:34
498,Laguna,38.421,-121.4238,60.78,64,0,6.91,US,2023-02-14 02:42:02
499,Qinzhou,21.95,108.6167,53.96,63,100,21.23,CN,2023-02-14 02:46:35
500,Hay River,60.8156,-115.7999,-4.02,77,75,6.91,CA,2023-02-14 02:45:39
501,Zwedru,6.0667,-8.1281,73.47,95,55,2.44,LR,2023-02-14 02:46:35
502,Chinsali,-10.5414,32.0816,61.0,97,85,2.57,ZM,2023-02-14 02:46:36
503,Clarksburg,39.2807,-80.3445,52.25,30,0,4.61,US,2023-02-14 02:46:36
504,Jasper,37.2001,-94.3502,53.04,50,0,3.44,US,2023-02-14 02:46:36
505,Pangai,-19.8,-174.35,80.71,83,75,6.91,TO,2023-02-14 02:46:37
506,Dong Hoi,17.4833,106.6,71.08,96,100,11.92,VN,2023-02-14 02:46:37
507,Nyrob,60.733,56.7202,14.5,94,100,7.43,RU,2023-02-14 02:46:37
508,Zachary,30.6485,-91.1565,62.47,70,0,9.22,US,2023-02-14 02:44:15
509,Nalut,30.3333,10.85,43.12,82,12,11.14,LY,2023-02-14 02:47:38
510,Shubarshi,48.5872,57.1869,15.85,91,100,12.68,KZ,2023-02-14 02:47:38
511,Carutapera,-1.195,-46.02,77.11,91,100,6.35,BR,2023-02-14 02:47:39
512,Yorosso,12.3536,-4.7761,78.28,14,4,12.93,ML,2023-02-14 02:47:39
513,Marsh Harbour,26.5412,-77.0636,68.7,64,77,9.73,BS,2023-02-14 02:43:21
514,Soyo,-6.1349,12.3689,78.82,83,100,5.97,AO,2023-02-14 02:47:40
515,Mvuma,-19.2792,30.5283,63.84,96,100,3.67,ZW,2023-02-14 02:47:40
516,Lerici,44.0759,9.9112,49.35,67,0,3.22,IT,2023-02-14 02:47:41
517,Erenhot,43.6475,111.9767,20.53,29,100,5.01,CN,2023-02-14 02:47:41
518,Araouane,18.9048,-3.5265,73.29,19,96,18.7,ML,2023-02-14 02:47:42
519,Siva,29.2041,25.5195,49.41,58,29,5.53,EG,2023-02-14 02:47:42
520,Thinadhoo,0.5333,72.9333,80.56,69,15,6.98,MV,2023-02-14 02:47:42
521,Tanem,63.3078,10.4319,38.03,83,93,4.29,NO,2023-02-14 02:47:43
522,Talnakh,69.4865,88.3972,6.21,94,100,13.38,RU,2023-02-14 02:47:43
523,Cantaura,9.3057,-64.3584,75.02,77,25,11.27,VE,2023-02-14 02:47:43
524,Tena,-0.9833,-77.8167,69.58,91,71,2.1,EC,2023-02-14 02:47:44
525,Zunyi,27.6867,106.9072,39.69,91,100,2.21,CN,2023-02-14 02:47:44
526,Abilene,32.4487,-99.7331,61.02,57,0,26.46,US,2023-02-14 02:46:00
527,Kupang,-10.1667,123.5833,81.18,94,75,4.61,ID,2023-02-14 02:47:45
528,America Dourada,-11.4553,-41.4361,71.31,79,13,10.96,BR,2023-02-14 02:47:46
529,Vostok,46.4856,135.8833,6.46,80,100,6.26,RU,2023-02-14 02:47:46
530,Namibe,-15.1961,12.1522,70.86,81,89,5.3,AO,2023-02-14 02:47:47
531,Tacna,-18.0056,-70.2483,70.0,68,0,3.44,PE,2023-02-14 02:47:47
532,Calama,-22.4667,-68.9333,63.09,42,0,9.22,CL,2023-02-14 02:45:37
