City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
612,kuldiga,LV,2.83,56.974,21.9572,Ezīša miga
613,corat,AZ,3.05,40.5725,49.7064,Mariana Trench Hotel / Mariana Trenç
628,laguna,US,9.86,38.421,-121.4238,Holiday Inn Express & Suites
631,longkou,CN,2.52,37.6508,120.3286,No hotel found
638,ajaccio,FR,5.03,42.0,8.9167,Hôtel Sole e Monte
650,abrau-dyurso,RU,-1.3,44.69,37.59,"Усадьба ""Круглое Озеро"""
653,yarim,YE,8.9,14.298,44.3779,No hotel found
660,uppsala,SE,0.69,60.0,17.75,No hotel found
661,hauterive,FR,4.42,46.0901,3.4459,Auberge Bourbonnaise
666,raudeberg,NO,5.37,61.9875,5.1352,No hotel found
673,straumen,NO,3.0,63.8709,11.2999,Jægtvolden Fjordhotell
679,shelburne,CA,4.42,44.0787,-80.2041,No hotel found
683,yatou,CN,3.49,37.15,122.3833,No hotel found
684,muros,ES,8.42,42.7762,-9.0603,Pensión Ría de Muros
690,excelsior springs,US,2.71,39.3392,-94.2261,No hotel found
700,vila,PT,3.49,42.0304,-8.1588,Hotel Miracastro
710,ancud,CL,9.1,-41.8697,-73.8203,Cabañas
711,karpathos,GR,8.98,35.507,27.2132,Ξενοδοχείο Τιτάνια
713,tiznit,MA,9.2,29.5833,-9.5,No hotel found
715,pueblo nuevo,MX,5.55,23.3833,-105.3833,No hotel found
722,port hardy,CA,4.1,50.6996,-127.4199,No hotel found
725,varhaug,NO,6.75,58.6147,5.6457,No hotel found
